2018-06-21 08:53:49,991 - ERROR : API认证未通过
2018-06-21 08:53:50,879 - ERROR : API认证未通过
2018-06-21 08:53:50,885 - ERROR : API认证未通过
2018-06-21 10:48:19,208 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:19,225 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:19,254 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,285 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,302 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,303 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,873 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,913 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:20,920 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,304 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,308 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,309 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,345 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,364 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,369 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,946 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,976 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:21,987 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,219 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,303 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,329 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,338 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,440 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,452 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,467 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,907 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,933 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:22,955 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,296 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,366 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,377 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,390 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,901 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:23,996 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,011 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,026 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,219 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,245 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,315 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,461 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,473 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:24,484 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,008 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,275 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,336 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,399 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,933 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:25,948 - ERROR : 监控数据优化、存储失败,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
2018-06-21 10:48:26,242 - ERROR : 服务器错误,Error 10061 connecting to 10.10.30.93:6379. 由于目标计算机积极拒绝，无法连接。.
